size,capacity,cmdp_size,mdp_size,fimdp_time,storm_time
20,20,400,8341,0.06316646,0.021742428
20,40,400,16281,0.126039208,0.080295456
20,60,400,24221,0.124745482,0.136246976
20,100,400,40101,0.123667048,0.259121993
20,200,400,79801,0.125203463,0.571518854
