size,capacity,cmdp_size,mdp_size,fimdp_time,storm_time
10,10,100,1071,0.008771225,0.00281048
10,20,100,2041,0.008931856,0.007124508
10,30,100,3011,0.008389102,0.010738594
10,50,100,4951,0.008557328,0.018387025
10,100,100,9801,0.008513226,0.03813512
