idx,size,capacity,cmdp_size,mdp_size,fimdp_time,storm_time
0,50.0,50.0,2500.0,127351.0,0.49819965000071015,0.4888914467145306
1,50.0,100.0,2500.0,252201.0,1.4418182818574548,2.3946790364285073
2,50.0,150.0,2500.0,377051.0,1.4677282111427172,4.05834675342859
3,50.0,250.0,2500.0,626751.0,1.4506732638567752,7.309201268714138
4,50.0,500.0,2500.0,1251001.0,1.4188883650006443,15.585972184428622
